1 1 KWPACKAGE package
1 9 ID lexical_analysis
1 25 SEMICOLON ;
3 1 KWPUBLIC public
3 8 KWCLASS class
3 14 ID Token
3 20 OBRACE {
5 2 KWPRIVATE private
5 10 ID String
5 17 ID name
5 21 SEMICOLON ;
6 2 KWPRIVATE private
6 10 ID String
6 17 ID lexema
6 23 SEMICOLON ;
7 2 KWPRIVATE private
7 10 KWINT int
7 14 ID line
7 18 SEMICOLON ;
8 2 KWPRIVATE private
8 10 KWINT int
8 14 ID column
8 20 SEMICOLON ;
10 2 KWPUBLIC public
10 9 ID Token
10 14 OPAR (
10 15 CPAR )
10 16 OBRACE {
11 3 KWTHIS this
11 7 OPAR (
11 12 CONSTANT ""
11 18 COMMA ,
11 20 INT -1
11 22 CPAR )
11 23 SEMICOLON ;
12 2 CBRACE }
14 2 KWPUBLIC public
14 9 ID Token
14 14 OPAR (
14 30 ID String
14 22 ID name_p
14 57 COMMA ,
14 37 ID lexema_p
14 59 KWINT int
14 51 ID line_p
14 63 ID column_p
14 71 CPAR )
14 72 OBRACE {
15 3 ID name
15 8 OPERATOR =
15 10 ID name_p
15 16 SEMICOLON ;
16 3 ID lexema
16 10 OPERATOR =
16 12 ID lexema_p
16 20 SEMICOLON ;
17 3 ID line
17 8 OPERATOR =
17 10 ID line_p
17 16 SEMICOLON ;
18 3 ID column
18 10 OPERATOR =
18 12 ID column_p
18 20 SEMICOLON ;
19 2 CBRACE }
21 2 KWPUBLIC public
21 9 ID String
21 16 ID getName
21 23 OPAR (
21 24 CPAR )
21 25 OBRACE {
22 3 KWRETURN return
22 10 ID name
22 14 SEMICOLON ;
23 2 CBRACE }
25 2 KWPUBLIC public
25 9 ID String
25 16 ID getLexema
25 25 OPAR (
25 26 CPAR )
25 27 OBRACE {
26 3 KWRETURN return
26 10 ID lexema
26 16 SEMICOLON ;
27 2 CBRACE }
29 2 KWPUBLIC public
29 9 KWINT int
29 13 ID getLine
29 20 OPAR (
29 21 CPAR )
29 22 OBRACE {
30 3 KWRETURN return
30 10 ID line
30 14 SEMICOLON ;
31 2 CBRACE }
33 2 KWPUBLIC public
33 9 KWINT int
33 13 ID getColumn
33 22 OPAR (
33 23 CPAR )
33 24 OBRACE {
34 3 KWRETURN return
34 10 ID column
34 16 SEMICOLON ;
35 2 CBRACE }
37 2 KWPUBLIC public
37 9 ID String
37 16 ID toString
37 24 OPAR (
37 25 CPAR )
37 26 OBRACE {
38 3 KWRETURN return
38 10 ID line
38 49 OPERATOR +
38 45 CONSTANT " "
38 23 ID column
38 38 ID name
38 51 ID lexema
38 57 SEMICOLON ;
39 2 CBRACE }
40 2 KWPUBLIC public
40 30 KWINT int
40 13 ID fun
40 16 OPAR (
40 21 ID a
40 29 COMMA ,
40 23 KWCHAR char
40 28 ID b
40 34 ID c
40 35 CPAR )
40 36 OBRACE {
41 3 ID System
41 13 DOT .
41 10 ID out
41 14 ID println
41 21 OPAR (
41 22 CONSTANT "HOLA MUNDO"
41 34 CPAR )
41 35 SEMICOLON ;
42 3 KWRETURN return
42 10 ID fun
42 13 OPAR (
42 14 ID a
42 15 OPERATOR ++
42 21 COMMA ,
42 18 ID b
42 19 OPERATOR --
42 22 INT 32
42 24 OPERATOR -
42 25 INT 24503
42 30 CPAR )
42 31 SEMICOLON ;
43 2 CBRACE }
45 1 CBRACE }
